model,overall,hard,coding,cpmi,launch,end,source
claude-opus-4-7-thinking,1502,,,5,2026-04,2027-04-16,https://openrouter.ai/anthropic/claude-opus-4.7
claude-opus-4-6,1499,,,5,2026-02,2027-02-05,https://platform.claude.com/docs/en/about-claude/pricing
claude-opus-4-6-thinking,1503,,,5,2026-02,2027-02-05,https://platform.claude.com/docs/en/about-claude/pricing
claude-opus-4-7,1494,,,5,2026-04,2027-04-16,https://openrouter.ai/anthropic/claude-opus-4.7
muse-spark,1487,,,,2026-03?,,
gpt-5.5-high,1481,1498,1513,5,2026-04,,https://openrouter.ai/openai/gpt-5.5
gemini-3.5-flash,1476,,,1.5,2026-05,,https://openrouter.ai/google/gemini-3.5-flash
gpt-5.5,1475,,,5,2026-04,,https://openrouter.ai/openai/gpt-5.5
qwen3.7-max-preview,1475,,,,2026-04?,,
ernie-5.1,1468,,,,2026-04?,,
glm-5.1,1473,,,0.95,2026-04,,https://openrouter.ai/z-ai/glm-5.1
gpt-5.5-instant,1472,,,,2026-04?,,
mimo-v2.5-pro,1466,,,1,2026-04,,https://openrouter.ai/xiaomi/mimo-v2.5-pro
deepseek-v4-pro,1457,,,0.4,2026-04,,https://openrouter.ai/deepseek/deepseek-v4-pro
deepseek-v4-pro-thinking,1457,,,0.435,2026-04,,https://openrouter.ai/deepseek/deepseek-v4-pro
qwen3.6-max-preview,1460,,,1.0,2026-04,,https://openrouter.ai/qwen/qwen3.6-max-preview
dola-seed-2.0-pro,1455,,,,2026-03?,,
kimi-k2.6,1461,,,0.7448,2026-04,,https://openrouter.ai/moonshotai/kimi-k2.6
gemma-4-31b,1451,1473,1497,,2026-03?,,
grok-4.3,1443,,,1.25,2026-04,,https://openrouter.ai/x-ai/grok-4.3
qwen3.6-plus,1444,1466,1493,0.3,2026-04,,https://openrouter.ai/qwen/qwen3.6-plus
deepseek-v4-flash-thinking,1437,,,0.14,2026-04,,https://openrouter.ai/deepseek/deepseek-v4-flash
longcat-flash-chat-2602-exp,1436,,,,2026-03?,,
gemma-4-26b-a4b,1438,1461,1479,,2026-03?,,
deepseek-v4-flash,1435,,,0.1,2026-04,,https://openrouter.ai/deepseek/deepseek-v4-flash
mimo-v2.5,1434,,,0.4,2026-04,,https://openrouter.ai/xiaomi/mimo-v2.5
hunyuan-hy3-preview,1413,,,,2026-04?,,
trinity-large-preview,1378,,,0.15,2026-01,,https://openrouter.ai/arcee-ai/trinity-large-preview
trinity-large-thinking,1369,,,0.22,2026-04,,https://openrouter.ai/arcee-ai/trinity-large-thinking
granite-4.1-8b,1311,1331,1358,0.05,2026-04,,https://openrouter.ai/ibm-granite/granite-4.1-8b
gpt-5.4-high (codex-harness),,,1457,2.5,2026-03,2026-04?,https://openrouter.ai/openai/gpt-5.4
gemini-3.1-pro-preview,1486,,,2,2026-02,,https://ai.google.dev/gemini-api/docs/pricing
gemini-3-pro,1486,1504,1519,2,2025-12,2026-03-09,https://ai.google.dev/gemini-api/docs/deprecations
gpt-5.4-medium (codex-harness),,,1428,2.5,2026-03,2026-04?,https://openrouter.ai/openai/gpt-5.4
gpt-5.3-codex (codex-harness),,,1407,1.75,2026-02,2026-04?,https://openrouter.ai/openai/gpt-5.3-codex
gpt-5-medium,,,1392,1.25,2025-08,2026-04?,https://openrouter.ai/openai/gpt-5
